managerID,yearID,teamID,lgID,inseason,G,W,L,rank,plyrMgr
dentbu01m,1990,NYA,AL,1,49,18,31,7,N
merrist99m,1990,NYA,AL,2,113,49,64,7,N
jo hnsd a 02 m,1990,NYN,NL,1,42,20,22,2,N
h arr eb u01 m,1990,NYN,NL,2,120,71,49,2,N
lar ust o 0 1 m,1990,OAK,AL,1,162,103,59,1,N
l e yva ni 9 9m ,1990,PHI,NL,1,162,77,85,4,N
le yl a ji9 9m,1990,PIT,NL,1,162,95,67,1,N
mckeoja99m,1990,SDN,NL,1,80,37,43,5,N
riddogr99m,1990,SDN,NL,2,82,38,44,5,N
lef e bji 01m,1990,SEA,AL,1,162,77,85,5,N
craigro01m,1990,SFN,NL,1,162,85,77,3,N
he r zow h01 m,1990,SLN,NL,1,80,33,47,6,N
sc h oe r e01m ,1990,SLN,NL,2,24,13,11,6,N
torrejo01m,1990,SLN,NL,3,58,24,34,6,N
val enb o0 2m,1990,TEX,AL,1,162,83,79,3,N
gastoci01m,1990,TOR,AL,1,162,86,76,2,N
coxbo01m,1991,ATL,NL,1,162,94,68,1,N
robinfr0 2 m ,1991,BAL,AL,1,37,13,24,6,N
o a t e s j o01m ,1991,BAL,AL,2,125,54,71,6,N
morgajo01m,1991,BOS,AL,1,162,84,78,3,N
raderdo02m,1991,CAL,AL,1,124,61,63,7,N
ro d gebu01m,1991,CAL,AL,2,38,20,18,7,N
to r boje01m,1991,CHA,AL,1,162,87,75,2,N
zimmedo01m,1991,CHN,NL,1,37,18,19,4,N
altobjo01m,1991,CHN,NL,2,1,0,1,4,N
essiaji01m,1991,CHN,NL,3,122,59,63,4,N
pinielo01m,1991,CIN,NL,1,162,74,88,5,N
mcnamjo99m,1991,CLE,AL,1,77,25,52,7,N
ha rgr mi01 m,1991,CLE,AL,2,85,32,53,7,N
a n d e rsp01m,1991,DET,AL,1,162,84,78,2,N
h owear 01m,1991,HOU,NL,1,162,65,97,6,N
wathajo01m,1991,KCA,AL,1,37,15,22,6,N
schaebo99m,1991,KCA,AL,2,1,1,0,6,N
mc ra e h a01m,1991,KCA,AL,3,124,66,58,6,N
l a sort o01m,1991,LAN,NL,1,162,93,69,2,N
k e l lyto 01m,1991,MIN,AL,1,162,95,67,1,N
trebeto99m,1991,ML4,AL,1,162,83,79,4,N
r od g ebu 01 m ,1991,MON,NL,1,49,20,29,6,N
r unneto 0 1m,1991,MON,NL,2,112,51,61,6,N
me r r i s t 99m,1991,NYA,AL,1,162,71,91,5,N
ha rrebu01m,1991,NYN,NL,1,154,74,80,5,N
cubbami01m,1991,NYN,NL,2,7,3,4,5,N
larusto01m,1991,OAK,AL,1,162,84,78,4,N
l e yva ni 9 9 m,1991,PHI,NL,1,13,4,9,3,N
fregoji01m,1991,PHI,NL,2,149,74,75,3,N
l ey l aji 99m ,1991,PIT,NL,1,162,98,64,1,N
r i ddog r99 m,1991,SDN,NL,1,162,84,78,3,N
lefebji01m,1991,SEA,AL,1,162,83,79,5,N
craigro01m,1991,SFN,NL,1,162,75,87,4,N
t o r r ej o0 1m ,1991,SLN,NL,1,162,84,78,2,N
valenbo02m,1991,TEX,AL,1,162,85,77,3,N
gastoci01m,1991,TOR,AL,1,120,66,54,1,N
tenacge01m,1991,TOR,AL,2,33,19,14,1,N
gastoci01m,1991,TOR,AL,3,9,6,3,1,N
co xbo0 1 m ,1992,ATL,NL,1,162,98,64,1,N
oatesjo01m,1992,BAL,AL,1,162,89,73,3,N
hobsob u 0 1m,1992,BOS,AL,1,162,73,89,7,N
ro dg e b u 01m,1992,CAL,AL,1,39,19,20,5,N
wathajo01m,1992,CAL,AL,2,89,39,50,5,N
rodgebu01m,1992,CAL,AL,3,34,14,20,5,N
l a mo ng e01 m ,1992,CHA,AL,1,162,86,76,3,N
le fe b j i 0 1m,1992,CHN,NL,1,162,78,84,4,N
pi ni elo 01m ,1992,CIN,NL,1,162,90,72,2,N
ha r g rm i01 m,1992,CLE,AL,1,162,76,86,5,N
an der s p 0 1m ,1992,DET,AL,1,162,75,87,6,N
how e a r 01 m,1992,HOU,NL,1,162,81,81,4,N
mcraeha01m,1992,KCA,AL,1,162,72,90,5,N
lasorto01m,1992,LAN,NL,1,162,63,99,6,N
kellyto01m,1992,MIN,AL,1,162,90,72,2,N
garneph01m,1992,ML4,AL,1,162,92,70,2,N
runneto01m,1992,MON,NL,1,37,17,20,2,N
aloufe01m,1992,MON,NL,2,125,70,55,2,N
sh o w ab u 99m ,1992,NYA,AL,1,162,76,86,4,N
t o r boje 01m ,1992,NYN,NL,1,162,72,90,5,N
l aru sto01m ,1992,OAK,AL,1,162,96,66,1,N
fregoji01m,1992,PHI,NL,1,162,70,92,6,N
leylaji 99 m ,1992,PIT,NL,1,162,96,66,1,N
r iddo gr9 9m,1992,SDN,NL,1,150,78,72,3,N
ri gglji99 m,1992,SDN,NL,2,12,4,8,3,N
plum mb i01 m,1992,SEA,AL,1,162,64,98,7,N
c ra igro0 1m,1992,SFN,NL,1,162,72,90,5,N
torre jo01 m ,1992,SLN,NL,1,162,83,79,3,N
valen b o02m,1992,TEX,AL,1,86,45,41,4,N
harr a to 01m,1992,TEX,AL,2,76,32,44,4,N
g ast oci01m ,1992,TOR,AL,1,162,96,66,1,N
coxb o01m ,1993,ATL,NL,1,162,104,58,1,N
oa t es jo01m ,1993,BAL,AL,1,162,85,77,3,N
ho bs o bu01 m ,1993,BOS,AL,1,162,80,82,5,N
ro d geb u 01m,1993,CAL,AL,1,162,71,91,5,N
lamonge01m,1993,CHA,AL,1,162,94,68,1,N
le fe bji 01m,1993,CHN,NL,1,162,84,78,4,N
perezto01m,1993,CIN,NL,1,44,20,24,5,N
j ohn sda02 m ,1993,CIN,NL,2,118,53,65,5,N
h a rg r m i 0 1 m ,1993,CLE,AL,1,162,76,86,6,N
baylodo01m,1993,COL,NL,1,162,67,95,6,N
andersp01m,1993,DET,AL,1,162,85,77,4,N
lachere01m,1993,FLO,NL,1,162,64,98,6,N
h o w ea r01m,1993,HOU,NL,1,162,85,77,3,N
mc r a eha0 1 m,1993,KCA,AL,1,162,84,78,3,N
lasorto01m,1993,LAN,NL,1,162,81,81,4,N
kellyto01m,1993,MIN,AL,1,162,71,91,6,N
garneph01m,1993,ML4,AL,1,162,69,93,7,N
alouf e 0 1m ,1993,MON,NL,1,162,94,68,2,N
s howa bu99 m,1993,NYA,AL,1,162,88,74,2,N
torboje01m,1993,NYN,NL,1,38,13,25,7,N
greenda02m,1993,NYN,NL,2,124,46,78,7,N
l arusto 01m,1993,OAK,AL,1,162,68,94,7,N
fregoji01m,1993,PHI,NL,1,162,97,65,1,N
ley laj i99m,1993,PIT,NL,1,162,75,87,5,N
rigglji99m,1993,SDN,NL,1,162,61,101,7,N
p i n ie l o01 m ,1993,SEA,AL,1,162,82,80,4,N
bak er d u 01m ,1993,SFN,NL,1,162,103,59,2,N
torrejo01m,1993,SLN,NL,1,162,87,75,3,N
k en ne k e 99 m ,1993,TEX,AL,1,162,86,76,2,N
gastoci01m,1993,TOR,AL,1,162,95,67,1,N
cox bo 0 1m,1994,ATL,NL,1,114,68,46,2,N
oatesjo01m,1994,BAL,AL,1,112,63,49,2,N
hobsobu01m,1994,BOS,AL,1,115,54,61,4,N
rodgebu01m,1994,CAL,AL,1,40,16,24,4,N
lache ma01m,1994,CAL,AL,2,75,31,44,4,N
lamonge01m,1994,CHA,AL,1,113,67,46,1,N
tr eb e t o99m,1994,CHN,NL,1,113,49,64,5,N
johnsda02m,1994,CIN,NL,1,115,66,48,1,N
hargrmi01m,1994,CLE,AL,1,113,66,47,2,N
baylodo01m,1994,COL,NL,1,117,53,64,3,N
andersp01m,1994,DET,AL,1,115,53,62,5,N
lach ere01 m ,1994,FLO,NL,1,115,51,64,5,N
col li te 9 9m,1994,HOU,NL,1,115,66,49,2,N
mcraeha01m,1994,KCA,AL,1,115,64,51,3,N
lasorto01m,1994,LAN,NL,1,115,58,56,1,N
kellyto01m,1994,MIN,AL,1,113,53,60,4,N
g a r n ep h0 1m ,1994,ML4,AL,1,115,53,62,5,N
aloufe01m,1994,MON,NL,1,114,74,40,1,N
showabu99m,1994,NYA,AL,1,113,70,43,1,N
g ree nd a 02m ,1994,NYN,NL,1,113,55,58,3,N
larusto01m,1994,OAK,AL,1,114,51,63,2,N
fr e goj i01m,1994,PHI,NL,1,115,54,61,4,N
leylaji99m,1994,PIT,NL,1,114,53,61,3,N
rig gl j i99m,1994,SDN,NL,1,117,47,70,4,N
pinielo01m,1994,SEA,AL,1,112,49,63,3,N
b a k erd u0 1 m,1994,SFN,NL,1,115,55,60,2,N
to r rejo0 1 m,1994,SLN,NL,1,115,53,61,3,N
ke nneke99m ,1994,TEX,AL,1,114,52,62,1,N
g as to c i0 1m ,1994,TOR,AL,1,115,55,60,3,N
coxbo01m,1995,ATL,NL,1,144,90,54,1,N
r e g a n p h 0 1m ,1995,BAL,AL,1,144,71,73,3,N
ken n eke9 9 m ,1995,BOS,AL,1,144,86,58,1,N
lachema01m,1995,CAL,AL,1,145,78,67,2,N
l amon g e01m,1995,CHA,AL,1,31,11,20,3,N
b e v i n t e9 9m,1995,CHA,AL,2,113,57,56,3,N
rigglji99m,1995,CHN,NL,1,144,73,71,3,N
johnsda02m,1995,CIN,NL,1,144,85,59,1,N
h ar g r mi01m ,1995,CLE,AL,1,144,100,44,1,N
baylodo01m,1995,COL,NL,1,144,77,67,2,N
andersp01m,1995,DET,AL,1,144,60,84,4,N
lachere01m,1995,FLO,NL,1,143,67,76,4,N
c ollite99m,1995,HOU,NL,1,144,76,68,2,N
b oo nebo01 m,1995,KCA,AL,1,144,70,74,2,N
lasorto01m,1995,LAN,NL,1,144,78,66,1,N
k elly to 0 1 m,1995,MIN,AL,1,144,56,88,5,N
garneph01m,1995,ML4,AL,1,144,65,79,4,N
aloufe01m,1995,MON,NL,1,144,66,78,5,N
showabu99m,1995,NYA,AL,1,145,79,65,2,N
greenda02m,1995,NYN,NL,1,144,69,75,2,N
l a r usto 01 m,1995,OAK,AL,1,144,67,77,4,N
fregoji01m,1995,PHI,NL,1,144,69,75,3,N
leylaji99m,1995,PIT,NL,1,144,58,86,5,N
bo chyb r01 m ,1995,SDN,NL,1,144,70,74,3,N
pi nie l o 0 1m,1995,SEA,AL,1,145,79,66,1,N
b ak er du01m ,1995,SFN,NL,1,144,67,77,4,N
torrejo01m,1995,SLN,NL,1,47,20,27,4,N
j o rg e m i 01m ,1995,SLN,NL,2,96,42,54,4,N
oatesjo01m,1995,TEX,AL,1,144,74,70,3,N
gastoc i 0 1m,1995,TOR,AL,1,144,56,88,5,N
coxbo01m,1996,ATL,NL,1,162,96,66,1,N
johnsda02m,1996,BAL,AL,1,164,88,74,2,N
kenneke99m,1996,BOS,AL,1,162,85,77,3,N
lachema01m,1996,CAL,AL,1,111,52,59,4,N
mcn am j o9 9 m ,1996,CAL,AL,2,28,10,18,4,N
maddojo99m,1996,CAL,AL,3,22,8,14,4,N
bevinte99m,1996,CHA,AL,1,163,85,77,2,N
rigglji99m,1996,CHN,NL,1,163,76,86,4,N
kni ghr a 0 1 m,1996,CIN,NL,1,162,81,81,3,N
hargrmi01m,1996,CLE,AL,1,161,99,62,1,N
b ay l odo 0 1m ,1996,COL,NL,1,163,83,79,3,N
be ll bu01m ,1996,DET,AL,1,162,53,109,5,N
lache re 01m ,1996,FLO,NL,1,86,39,47,3,N
rojasco01m,1996,FLO,NL,2,1,1,0,3,N
bo les j o 99m,1996,FLO,NL,3,75,40,35,3,N
c o ll i t e9 9 m,1996,HOU,NL,1,162,82,80,2,N
bo one b o01m,1996,KCA,AL,1,161,75,86,5,N
las orto 0 1m,1996,LAN,NL,1,76,41,35,2,N
r u ss eb i01m,1996,LAN,NL,2,86,49,37,2,N
kellyto01m,1996,MIN,AL,1,162,78,84,4,N
g ar n eph01 m ,1996,ML4,AL,1,163,80,82,3,N
aloufe01m,1996,MON,NL,1,162,88,74,2,N
tor rej o01m ,1996,NYA,AL,1,162,92,70,1,N
gr e enda0 2m,1996,NYN,NL,1,131,59,72,4,N
valenbo02m,1996,NYN,NL,2,31,12,19,4,N
howear01m,1996,OAK,AL,1,162,78,84,3,N
fregoji01m,1996,PHI,NL,1,162,67,95,5,N
leyl aji 99 m,1996,PIT,NL,1,162,73,89,5,N
bochybr01m,1996,SDN,NL,1,162,91,71,1,N
pin ie lo0 1 m,1996,SEA,AL,1,161,85,76,2,N
bakerdu01m,1996,SFN,NL,1,162,68,94,4,N
larusto01m,1996,SLN,NL,1,162,88,74,1,N
oatesjo01m,1996,TEX,AL,1,163,90,72,1,N
gast oci 01 m,1996,TOR,AL,1,162,74,88,4,N
coll i te 99m,1997,ANA,AL,1,162,84,78,2,N
coxbo01m,1997,ATL,NL,1,162,101,61,1,N
j ohnsd a02m ,1997,BAL,AL,1,162,98,64,1,N
w ill i j i 03m,1997,BOS,AL,1,162,78,84,4,N
bevinte99m,1997,CHA,AL,1,161,80,81,2,N
ri gg lji99 m ,1997,CHN,NL,1,162,68,94,5,N
knighra01m,1997,CIN,NL,1,99,43,56,3,N
mckeoja99m,1997,CIN,NL,2,63,33,30,3,N
ha rg r m i 01 m,1997,CLE,AL,1,161,86,75,1,N
ba ylo d o 01m ,1997,COL,NL,1,162,83,79,3,N
bel l bu0 1m ,1997,DET,AL,1,162,79,83,3,N
leylaji99m,1997,FLO,NL,1,162,92,70,2,N
dierkla01m,1997,HOU,NL,1,162,84,78,1,N
boonebo01m,1997,KCA,AL,1,82,36,46,5,N
muser t o 0 1 m,1997,KCA,AL,2,79,31,48,5,N
r uss ebi 01m ,1997,LAN,NL,1,162,88,74,2,N
kellyto01m,1997,MIN,AL,1,162,68,94,4,N
garneph01m,1997,ML4,AL,1,161,78,83,3,N
aloufe0 1 m,1997,MON,NL,1,162,78,84,4,N
torrejo01m,1997,NYA,AL,1,162,96,66,2,N
va len bo02 m ,1997,NYN,NL,1,162,88,74,3,N
howear01m,1997,OAK,AL,1,162,65,97,4,N
francte01m,1997,PHI,NL,1,162,68,94,5,N
lamonge01m,1997,PIT,NL,1,162,79,83,2,N
bochy br 0 1m,1997,SDN,NL,1,162,76,86,4,N
p i n ie lo 01 m ,1997,SEA,AL,1,162,90,72,1,N
bakerdu01m,1997,SFN,NL,1,162,90,72,1,N
lar us to 01m ,1997,SLN,NL,1,162,73,89,4,N
oate sjo01m,1997,TEX,AL,1,162,77,85,3,N
gastoci01m,1997,TOR,AL,1,157,72,85,5,N
queenme02m,1997,TOR,AL,2,5,4,1,5,N
col lit e 99m,1998,ANA,AL,1,162,85,77,2,N
sh owab u 9 9 m ,1998,ARI,NL,1,162,65,97,5,N
coxbo01m,1998,ATL,NL,1,162,106,56,1,N
mi ll er a99 m,1998,BAL,AL,1,162,79,83,4,N
williji03m,1998,BOS,AL,1,162,92,70,2,N
manueje01m,1998,CHA,AL,1,162,80,82,2,N
rigglji99m,1998,CHN,NL,1,163,90,73,2,N
m c k eoj a99m ,1998,CIN,NL,1,162,77,85,4,N
harg rm i 0 1 m ,1998,CLE,AL,1,162,89,73,1,N
b a ylo do01 m,1998,COL,NL,1,162,77,85,4,N
bellbu01m,1998,DET,AL,1,137,52,85,5,N
parrila01m,1998,DET,AL,2,25,13,12,5,N
leyl aji 99 m,1998,FLO,NL,1,162,54,108,5,N
di erkl a0 1 m ,1998,HOU,NL,1,162,102,60,1,N
mu s er to0 1m,1998,KCA,AL,1,161,72,89,3,N
russe bi 01m,1998,LAN,NL,1,74,36,38,3,N
hoffmgl01m,1998,LAN,NL,2,88,47,41,3,N
garneph01m,1998,MIL,NL,1,162,74,88,5,N
kell y t o 0 1m,1998,MIN,AL,1,162,70,92,4,N
aloufe01m,1998,MON,NL,1,162,65,97,4,N
torre j o 01m,1998,NYA,AL,1,162,114,48,1,N
v alen bo0 2 m,1998,NYN,NL,1,162,88,74,2,N
howear01m,1998,OAK,AL,1,162,74,88,4,N
f r an ct e 0 1 m,1998,PHI,NL,1,162,75,87,3,N
lamonge01m,1998,PIT,NL,1,162,69,93,6,N
bochybr01m,1998,SDN,NL,1,162,98,64,1,N
pinie lo01m ,1998,SEA,AL,1,161,76,85,3,N
b ak e r du0 1m ,1998,SFN,NL,1,163,89,74,2,N
la ru st o0 1 m,1998,SLN,NL,1,162,83,79,3,N
r o ths l a0 1m,1998,TBA,AL,1,162,63,99,5,N
oatesjo01m,1998,TEX,AL,1,162,88,74,1,N
john st i 0 1m ,1998,TOR,AL,1,162,88,74,3,N
collite99m,1999,ANA,AL,1,133,51,82,4,N
maddojo99m,1999,ANA,AL,2,29,19,10,4,N
showabu99m,1999,ARI,NL,1,162,100,62,1,N
coxbo01m,1999,ATL,NL,1,162,103,59,1,N
mille r a 9 9 m,1999,BAL,AL,1,162,78,84,4,N
williji03m,1999,BOS,AL,1,162,94,68,2,N
manueje01m,1999,CHA,AL,1,161,75,86,2,N
rigglji99m,1999,CHN,NL,1,162,67,95,6,N
mckeoja99m,1999,CIN,NL,1,163,96,67,2,N
h argr m i01 m,1999,CLE,AL,1,162,97,65,1,N
leylaji99m,1999,COL,NL,1,162,72,90,5,N
parrila01m,1999,DET,AL,1,161,69,92,3,N
b o l esjo 9 9m,1999,FLO,NL,1,162,64,98,5,N
die r kla 01m,1999,HOU,NL,1,61,38,23,1,N
galanma99m,1999,HOU,NL,2,27,13,14,2,N
d ierkl a01m,1999,HOU,NL,3,74,46,28,1,N
m userto01m,1999,KCA,AL,1,161,64,97,4,N
johnsda02m,1999,LAN,NL,1,162,77,85,3,N
g a rneph01m,1999,MIL,NL,1,112,52,60,5,N
lefebji01m,1999,MIL,NL,2,49,22,27,5,N
kellyto01m,1999,MIN,AL,1,162,63,97,5,N
aloufe01m,1999,MON,NL,1,162,68,94,4,N
torrejo01m,1999,NYA,AL,1,162,98,64,1,N
valenbo02m,1999,NYN,NL,1,163,97,66,2,N
howear01m,1999,OAK,AL,1,162,87,75,2,N
francte01m,1999,PHI,NL,1,162,77,85,3,N
lamo nge0 1 m ,1999,PIT,NL,1,161,78,83,3,N
bochybr01m,1999,SDN,NL,1,162,74,88,4,N
pin i el o 01m ,1999,SEA,AL,1,162,79,83,3,N
bakerdu01m,1999,SFN,NL,1,162,86,76,2,N
larusto01m,1999,SLN,NL,1,161,75,86,4,N
ro thsl a01m ,1999,TBA,AL,1,162,69,93,5,N
oatesjo01m,1999,TEX,AL,1,162,95,67,1,N
fregoji01m,1999,TOR,AL,1,162,84,78,3,N
sciosmi 01m ,2000,ANA,AL,1,162,82,80,3,N
showabu99m,2000,ARI,NL,1,162,85,77,3,N
co x bo01m ,2000,ATL,NL,1,162,95,67,1,N
h arg rm i0 1m ,2000,BAL,AL,1,162,74,88,4,N
williji03m,2000,BOS,AL,1,162,85,77,2,N
manueje01m,2000,CHA,AL,1,162,95,67,1,N
baylodo01m,2000,CHN,NL,1,162,65,97,6,N
m c k eoj a9 9m ,2000,CIN,NL,1,163,85,77,2,N
manuech01m,2000,CLE,AL,1,162,90,72,2,N
bellb u01 m ,2000,COL,NL,1,162,82,80,4,N
gar n e p h0 1m ,2000,DET,AL,1,162,79,83,3,N
bolesjo99m,2000,FLO,NL,1,161,79,82,3,N
di e rk la 0 1m ,2000,HOU,NL,1,162,72,90,4,N
m u ser t o01 m ,2000,KCA,AL,1,162,77,85,4,N
johns da02m,2000,LAN,NL,1,162,86,76,2,N
lopesda01m,2000,MIL,NL,1,163,73,89,3,N
kellyto01m,2000,MIN,AL,1,162,69,93,5,N
aloufe01m,2000,MON,NL,1,162,67,95,4,N
torre jo 01 m,2000,NYA,AL,1,161,87,74,1,N
v a l enb o02 m,2000,NYN,NL,1,162,94,68,2,N
h owe ar0 1m,2000,OAK,AL,1,161,91,70,1,N
francte01m,2000,PHI,NL,1,162,65,97,5,N
la mo n ge0 1m ,2000,PIT,NL,1,162,69,93,5,N
bo c hybr 0 1 m ,2000,SDN,NL,1,162,76,86,5,N
pinielo01m,2000,SEA,AL,1,162,91,71,2,N
bakerdu01m,2000,SFN,NL,1,162,97,65,1,N
larust o 01m,2000,SLN,NL,1,162,95,67,1,N
rothsla01m,2000,TBA,AL,1,161,69,92,5,N
oatesjo01m,2000,TEX,AL,1,162,71,91,4,N
fregoji01m,2000,TOR,AL,1,162,83,79,3,N
sciosmi01m,2001,ANA,AL,1,162,75,87,3,N
br e n lbo0 1 m ,2001,ARI,NL,1,162,92,70,1,N
coxbo01m,2001,ATL,NL,1,162,88,74,1,N
hargrmi01m,2001,BAL,AL,1,162,63,98,4,N
wi l l i ji0 3m ,2001,BOS,AL,1,118,65,53,2,N
ke r r ijo01 m,2001,BOS,AL,2,43,17,26,2,N
manueje01m,2001,CHA,AL,1,162,83,79,3,N
baylodo01m,2001,CHN,NL,1,162,88,74,3,N
boonebo01m,2001,CIN,NL,1,162,66,96,5,N
m anuech01m ,2001,CLE,AL,1,162,91,71,1,N
bellbu01m,2001,COL,NL,1,162,73,89,5,N
g a r neph 01m ,2001,DET,AL,1,162,66,96,4,N
bolesjo99m,2001,FLO,NL,1,48,22,26,3,N
p e r ezto0 1m,2001,FLO,NL,2,114,54,60,4,N
dierkla01m,2001,HOU,NL,1,162,93,69,1,N
muserto01m,2001,KCA,AL,1,162,65,97,5,N
tracyji01m,2001,LAN,NL,1,162,86,76,3,N
lopesda01m,2001,MIL,NL,1,162,68,94,4,N
ke llyto 01m,2001,MIN,AL,1,162,85,77,2,N
alouf e01m,2001,MON,NL,1,53,21,32,5,N
torb oje01 m ,2001,MON,NL,2,109,47,62,5,N
torre jo01m,2001,NYA,AL,1,161,95,65,1,N
vale n b o02 m ,2001,NYN,NL,1,162,82,80,3,N
howear01m,2001,OAK,AL,1,162,102,60,2,N
b ow a la 01m,2001,PHI,NL,1,162,86,76,2,N
m ccle ll 01 m,2001,PIT,NL,1,162,62,100,6,N
bochybr01m,2001,SDN,NL,1,162,79,83,4,N
pinielo01m,2001,SEA,AL,1,162,116,46,1,N
bakerdu01m,2001,SFN,NL,1,162,90,72,2,N
l a r ust o01m,2001,SLN,NL,1,162,93,69,2,N
rot h sl a 01m ,2001,TBA,AL,1,14,4,10,5,N
mcraeha01m,2001,TBA,AL,2,148,58,90,5,N
oate sj o0 1m ,2001,TEX,AL,1,28,11,17,4,N
narro je 01m ,2001,TEX,AL,2,134,62,72,4,N
martibu01m,2001,TOR,AL,1,162,80,82,3,N
sciosmi01m,2002,ANA,AL,1,162,99,63,2,N
brenlbo01m,2002,ARI,NL,1,162,98,64,1,N
co x bo0 1m,2002,ATL,NL,1,161,101,59,1,N
hargrmi01m,2002,BAL,AL,1,162,67,95,4,N
littlgr99m,2002,BOS,AL,1,162,93,69,2,N
manueje01m,2002,CHA,AL,1,162,81,81,2,N
baylodo01m,2002,CHN,NL,1,83,34,49,5,N
la c h e re 01m ,2002,CHN,NL,2,1,0,1,5,N
kimmbr01m,2002,CHN,NL,3,78,33,45,5,N
boonebo01m,2002,CIN,NL,1,162,78,84,3,N
manuech01m,2002,CLE,AL,1,86,39,47,3,N
skinnjo01m,2002,CLE,AL,2,76,35,41,3,N
bellbu01m,2002,COL,NL,1,22,6,16,4,N
hurdlcl01m,2002,COL,NL,2,140,67,73,4,N
garn eph01m,2002,DET,AL,1,6,0,6,5,N
pujollu01m,2002,DET,AL,2,155,55,100,5,N
torboje01m,2002,FLO,NL,1,162,79,83,4,N
williji03m,2002,HOU,NL,1,162,84,78,2,N
muserto01m,2002,KCA,AL,1,23,8,15,4,N
mizerjo01m,2002,KCA,AL,2,13,5,8,4,N
p e n a t o 0 1 m,2002,KCA,AL,3,126,49,77,4,N
tracyji01m,2002,LAN,NL,1,162,92,70,3,N
lopesda01m,2002,MIL,NL,1,15,3,12,6,N
roystje01m,2002,MIL,NL,2,147,53,94,6,N
ga rd e ro0 1 m,2002,MIN,AL,1,161,94,67,1,N
robinfr02m,2002,MON,NL,1,162,83,79,2,N
torrejo01m,2002,NYA,AL,1,161,103,58,1,N
val enb o02m,2002,NYN,NL,1,161,75,86,5,N
howear01m,2002,OAK,AL,1,162,103,59,1,N
b owala0 1m ,2002,PHI,NL,1,161,80,81,3,N
mcclell01m,2002,PIT,NL,1,161,72,89,4,N
b oc hy br 0 1 m,2002,SDN,NL,1,162,66,96,5,N
p in i elo 01m,2002,SEA,AL,1,162,93,69,3,N
bakerdu01m ,2002,SFN,NL,1,162,95,66,2,N
larusto01m,2002,SLN,NL,1,162,97,65,1,N
mc r aeh a0 1m,2002,TBA,AL,1,161,55,106,5,N
nar roje01m,2002,TEX,AL,1,162,72,90,4,N
m ar t i bu0 1m,2002,TOR,AL,1,53,20,33,3,N
to s caca9 9 m,2002,TOR,AL,2,109,58,51,3,N
sci osm i0 1 m,2003,ANA,AL,1,162,77,85,3,N
br enl bo 01m ,2003,ARI,NL,1,162,84,78,3,N
c oxbo0 1 m,2003,ATL,NL,1,162,101,61,1,N
hargrm i01m,2003,BAL,AL,1,163,71,91,4,N
li tt l g r99m ,2003,BOS,AL,1,162,95,67,2,N
manueje01m,2003,CHA,AL,1,162,86,76,2,N
bake r d u01m ,2003,CHN,NL,1,162,88,74,1,N
bo o neb o01m ,2003,CIN,NL,1,104,46,58,5,N
k n ighr a 0 1m,2003,CIN,NL,2,1,1,0,5,N
mileyda 99m ,2003,CIN,NL,3,57,22,35,5,N
w edge er0 1 m ,2003,CLE,AL,1,162,68,94,4,N
hurdlcl01m,2003,COL,NL,1,162,74,88,4,N
tr am ma l 01m,2003,DET,AL,1,162,43,119,5,N
tor boj e 01m ,2003,FLO,NL,1,38,16,22,4,N
mc k e oja 99m,2003,FLO,NL,2,124,75,49,2,N
williji03m,2003,HOU,NL,1,162,87,75,2,N
penato01m,2003,KCA,AL,1,162,83,79,3,N
tracyji01m,2003,LAN,NL,1,162,85,77,2,N
yostne01m,2003,MIL,NL,1,162,68,94,6,N
g ar d e ro0 1m,2003,MIN,AL,1,162,90,72,1,N
ro b infr02 m,2003,MON,NL,1,162,83,79,4,N
to rr ejo01m ,2003,NYA,AL,1,163,101,61,1,N
howear01m,2003,NYN,NL,1,161,66,95,5,N
machake01m,2003,OAK,AL,1,162,96,66,1,N
bowala01m,2003,PHI,NL,1,162,86,76,3,N
mcclell01m,2003,PIT,NL,1,162,75,87,4,N
bochybr01m,2003,SDN,NL,1,162,64,98,5,N
melvibo01m,2003,SEA,AL,1,162,93,69,2,N
alo ufe0 1 m,2003,SFN,NL,1,161,100,61,1,N
la rusto01m ,2003,SLN,NL,1,162,85,77,3,N
pi ni e lo01m,2003,TBA,AL,1,162,63,99,5,N
s how ab u9 9 m,2003,TEX,AL,1,162,71,91,4,N
toscaca99m,2003,TOR,AL,1,162,86,76,3,N
sciosmi01m,2004,ANA,AL,1,162,92,70,1,N
brenlbo01m,2004,ARI,NL,1,79,29,50,5,N
p edrial 01m ,2004,ARI,NL,2,83,22,61,5,N
c o xbo 01m,2004,ATL,NL,1,162,96,66,1,N
mazz il e 01m,2004,BAL,AL,1,162,78,84,3,N
fra nc t e0 1 m,2004,BOS,AL,1,162,98,64,2,N
guilloz01m,2004,CHA,AL,1,162,83,79,2,N
bakerdu01m,2004,CHN,NL,1,162,89,73,3,N
mile y d a99 m ,2004,CIN,NL,1,162,76,86,4,N
w edgee r01m,2004,CLE,AL,1,162,80,82,3,N
hurdlcl01m,2004,COL,NL,1,162,68,94,4,N
trammal01m,2004,DET,AL,1,162,72,90,4,N
mckeoja99m,2004,FLO,NL,1,162,83,79,3,N
williji03m,2004,HOU,NL,1,88,44,44,5,N
garneph01m,2004,HOU,NL,2,74,48,26,2,N
penat o01 m ,2004,KCA,AL,1,162,58,104,5,N
tracyji01m,2004,LAN,NL,1,162,93,69,1,N
